Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Reported Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,Covered Emissions (MT CO2e),CCA Status,Georeferenced Location
"SGL Carbon, LLC - Moses Lake",2018,Manufacturing,Transportation Industry,335991,Carbon and Graphite Product Manufacturing,SGL Automotive Carbon Fibers LLC,Moses Lake,Grant,Ecology: Eastern Regional Office,9549,0,9539,5,5,0,0,0,0,,1,"47.208993, -119.285437",,,POINT (-119.285437 47.208993)
Avista Corporation LDC - WA - statewide,2013,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Avista Corp.,Spokane,Spokane,Spokane Regional Clean Air Agency,15199,0,18,15180,0,0,0,0,0,,1,"47.673662, -117.388735",,,POINT (-117.388735 47.673662)
Grays Harbor Energy Center - Elma,2021,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Invenergy Investment Company LLC,Elma,Grays Harbor,EFSEC,1367817,0,1366428,634,755,0,0,0,0,,4,"46.9688, -123.48",,,POINT (-123.48 46.9688)
Mutual Materials Mica Brick Plant - Spokane,2019,Minerals,Other Minerals,327120,Clay Building Material and Refractories Manufacturing,Mutual Materials Co.,Spokane,Spokane,Spokane Regional Clean Air Agency,11287,0,11275,5,6,0,0,0,0,,1,"47.55833, -117.2117",,,POINT (-117.2117 47.55833)
"SEH America, Inc - Vancouver",2016,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,SEH America Inc.,Vancouver,Clark,Southwest Clean Air Agency,8598,0,8589,4,5,0,0,0,0,,1,"45.649912, -122.553612",,,POINT (-122.553612 45.649912)
Chehalis Generation Facility - Chehalis,2014,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Berkshire Hathaway,Chehalis,Lewis,EFSEC,1062012,0,1060934,492,586,0,0,0,0,,3,"46.6226, -122.9145",,,POINT (-122.9145 46.6226)
"Horse Heaven Cattle Feeders, Inc. - Sunnyside",2014,Livestock,Cattle Feedlots,112112,Cattle Feedlots,"Horse Heaven Cattle Feeders, Inc.",Sunnyside,Yakima,Yakima Regional Clean Air Agency,8463,0,0,660,7803,0,0,0,0,,1,"46.284622, -120.019668",,,POINT (-120.019668 46.284622)
City of Spokane Northside Landfill - Spokane,2012,Waste,Landfills,562212,Solid Waste Landfill,City of Spokane,Spokane,Spokane,Spokane Regional Clean Air Agency,10471,0,0,10471,0,0,0,0,0,Voluntary reporter.,1,"47.727246, -117.487442",,,POINT (-117.487442 47.727246)
Lamb Weston - Pasco,2013,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Pasco,Franklin,Ecology: Eastern Regional Office,49844,0,49793,24,28,0,0,0,0,,2,"46.288137, -119.115336",,,POINT (-119.115336 46.288137)
Cathcart Landfill - Snohomish,2016,Waste,Landfills,562212,Solid Waste Landfill,Snohomish County,Snohomish,Snohomish,Puget Sound Clean Air Agency,6993,0,161,6832,0,0,0,0,0,,1,"47.870014, -122.118284",,,POINT (-122.118284 47.870014)
Boulder Park Generating Station - Spokane Valley,2016,Power Plants,"Other Power, Heating, or Cooling Plants",221112,Fossil Fuel Electric Power Generation,Avista Corp.,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,9009,0,8999,4,5,0,0,0,0,,1,"47.696999, -117.147223",,,POINT (-117.147223 47.696999)
Sierra Pacific Industries - Centralia,2018,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Centralia,Lewis,Southwest Clean Air Agency,42446,41887,0,81,479,0,0,0,0,,2,"46.756413, -122.995433",,,POINT (-122.995433 46.756413)
Northwest Pipeline C/S - Washougal,2018,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Washougal,Clark,Southwest Clean Air Agency,16346,0,14727,1611,8,0,0,0,0,,1,"45.63236, -122.36516",,,POINT (-122.36516 45.63236)
"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley",2017,Metals,Other Metals,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",Kaiser Aluminum Corp.,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,126365,0,126235,60,71,0,0,0,0,,3,"47.687074, -117.212673",,,POINT (-117.212673 47.687074)
Puget Sound Energy LDC Facility - Bellevue,2017,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Puget Holdings LLC,Bellevue,King,Puget Sound Clean Air Agency,60615,0,103,60512,0,0,0,0,0,,2,"47.61345, -122.19454",,,POINT (-122.19454 47.61345)
Owens-Brockway Glass Container Inc Plant #2 - Kalama,2021,Minerals,Glass Production,327213,Glass Container Manufacturing,O-I Glass Inc.,Kalama,Cowlitz,Southwest Clean Air Agency,26528,0,26510,9,10,0,0,0,0,,2,"46.031656, -122.866241",,,POINT (-122.866241 46.031656)
Northwest Hardwoods Inc. - Centralia,2017,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Centralia,Lewis,Southwest Clean Air Agency,10678,7117,3463,16,83,0,0,0,0,,1,"46.734454, -122.991963",,,POINT (-122.991963 46.734454)
US Army Joint Base Lewis-McChord - Pierce Co.,2020,Government,National Security,928110,National Security,US Government,Joint Base Lewis-McChord,Pierce,Puget Sound Clean Air Agency,70954,0,55203,15719,32,0,0,0,0,,2,"47.1142, -122.5365",,,POINT (-122.5365 47.1142)
J.R. Simplot Company - Moses Lake,2020,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Moses Lake,Grant,Ecology: Eastern Regional Office,33788,5058,22827,5872,31,0,0,0,0,,2,"47.131732, -119.18926",,,POINT (-119.18926 47.131732)
Sonoco Products - Sumner,2012,Pulp and Paper,Other Pulp and Paper,322130,Paperboard Mills,Sonoco Products Company,Sumner,Pierce,Puget Sound Clean Air Agency,10342,0,10331,5,6,0,0,0,0,,1,"47.210641, -122.239474",,,POINT (-122.239474 47.210641)
CenTrio Energy Seattle LLC - Seattle,2021,Power Plants,"Other Power, Heating, or Cooling Plants",221330,Steam and Air-Conditioning Supply,Seattle Steam Company LLC,Seattle,King,Puget Sound Clean Air Agency,66389,0,66320,31,37,0,0,0,0,,2,"47.6068, -122.340179",,,POINT (-122.340179 47.6068)
Murphy Veneer - Elma,2018,Wood Products,Other Wood Products,321212,Softwood Veneer and Plywood Manufacturing,Murphy Co.,Elma,Grays Harbor,Olympic Region Clean Air Agency,10158,0,10147,5,6,0,0,0,0,,1,"47.040323, -123.334339",,,POINT (-123.334339 47.040323)
Alcoa Wenatchee Works - Malaga,2012,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Malaga,Chelan,Ecology: Industrial Section,306333,0,269093,14,17,0,37208,0,0,,3,"47.3567, -120.1273",,,POINT (-120.1273 47.3567)
Sierra Pacific Industries - Centralia,2014,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Centralia,Lewis,Southwest Clean Air Agency,45935,45330,0,87,519,0,0,0,0,,2,"46.756413, -122.995433",,,POINT (-122.995433 46.756413)
"Tyson Fresh Meats, Inc. - Wallula",2021,Food Production,Meat Products,311611,Animal (except Poultry) Slaughtering,"Tyson Foods, Inc",Wallula,Walla Walla,Ecology: Eastern Regional Office,106862,0,23569,83280,13,0,0,0,0,,3,"46.137521, -118.913051",,,POINT (-118.913051 46.137521)
"Christensen, Inc. - Richland",2023,Supplier,Other Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"Christensen, Inc.",Richland,Benton,,43388,1221,41826,42,299,0,0,0,0,,,,42167,Covered Entity,
Northwest Pipeline LLC - Houston,2023,Supplier,Natural Gas Supplier,486210,Pipeline Transportation of Natural Gas,The Williams Companies Inc,Houston,Harris,,,,,,,,,,,,,,55563,Covered Entity,
Ascensus Specialties LLC - Elma,2017,Chemicals,Other Chemicals,325180,Other Basic Inorganic Chemical Manufacturing,VSI Holdings LLC,Elma,Grays Harbor,Olympic Region Clean Air Agency,21310,0,21288,10,12,0,0,0,0,,1,"46.995459, -123.382316",,,POINT (-123.382316 46.995459)
"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley",2022,Metals,Other Metals,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",Kaiser Aluminum Corp.,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,124441,0,124313,59,70,0,0,0,0,,3,"47.687074, -117.212673",,,POINT (-117.212673 47.687074)
Gas Transmission Northwest Compressor Station 7 -Prescott,2018,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Starbuck,Columbia,Ecology: Eastern Regional Office,64228,0,63124,1068,35,0,0,0,0,,2,"46.53558, -118.293441",,,POINT (-118.293441 46.53558)
Alcoa Intalco Works - Ferndale,2016,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Ferndale,Whatcom,Ecology: Industrial Section,1261364,0,376843,10069,33,0,874420,0,0,PFC emissions based on old source test information.,4,"48.8455, -122.7055",,,POINT (-122.7055 48.8455)
Tree Top - Selah Campus,2013,Food Production,Fruit Products,311423,Dried and Dehydrated Food Manufacturing,Tree Top Inc.,Selah,Yakima,Yakima Regional Clean Air Agency,15638,0,15622,7,9,0,0,0,0,,1,"46.64992, -120.52755",,,POINT (-120.52755 46.64992)
Hampton Lumber Mills Washington Inc. - Darrington,2019,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Darrington,Snohomish,Puget Sound Clean Air Agency,84097,82988,0,159,949,0,0,0,0,,2,"48.262797, -121.597608",,,POINT (-121.597608 48.262797)
Frederickson Power LP - Tacoma,2013,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,"Puget Sound Energy, Inc. and Capital Power (US Holdings) Inc",Tacoma,Pierce,Puget Sound Clean Air Agency,328068,0,327735,152,181,0,0,0,0,,3,"47.086342, -122.365686",,,POINT (-122.365686 47.086342)
CenTrio Energy Seattle LLC - Seattle,2012,Power Plants,"Other Power, Heating, or Cooling Plants",221330,Steam and Air-Conditioning Supply,Seattle Steam Company LLC,Seattle,King,Puget Sound Clean Air Agency,88823,12323,76152,141,207,0,0,0,0,,2,"47.6068, -122.340179",,,POINT (-122.340179 47.6068)
Star Forge LLC dba Jorgensen Forge - Tukwila,2019,Metals,Other Metals,332111,Iron and Steel Forging,Jorgensen Forge Corp.,Tukwila,King,Puget Sound Clean Air Agency,60,0,60,0,0,0,0,0,0,Last year reporting.  Facility shut down.,1,"47.526872, -122.303906",,,POINT (-122.303906 47.526872)
"Reser's Fine Foods, Inc. Capitol Plant - Pasco",2022,Food Production,Other Food Products,311991,Perishable Prepared Food Manufacturing,"Resers Fine Foods, Inc",Pasco,Franklin,Ecology: Eastern Regional Office,2481,0,2478,1,1,0,0,0,0,Only year reporting. Voluntary reporter.,1,"46.278453, -119.084682",,,POINT (-119.084682 46.278453)
Puget Sound Energy - Ferndale Generating Station - Ferndale,2022,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Ferndale,Whatcom,Northwest Clean Air Agency,464786,0,464289,222,275,0,0,0,0,,3,"48.828707, -122.685533",,,POINT (-122.685533 48.828707)
Keyes Fibre Corporation - Wenatchee,2012,Pulp and Paper,Other Pulp and Paper,322299,All Other Converted Paper Product Manufacturing,Tekni-Plex Wenatchee Fiber Consumer Porducts,Wenatchee,Chelan,Ecology: Central Regional Office,12342,0,12330,5,7,0,0,0,0,,1,"47.485987, -120.316363",,,POINT (-120.316363 47.485987)
Gas Transmission Northwest Compressor Station 7 -Prescott,2023,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Starbuck,Columbia,Ecology: Eastern Regional Office,133778,0,131653,2051,74,0,0,0,0,,3,"46.53558, -118.293441",133778,Covered Entity,POINT (-118.293441 46.53558)
Puget Sound Energy T&D - statewide,2016,Power Plants,Electrical Transmission and Distribution,221122,Electric Power Distribution,Puget Holdings LLC,Bellevue,King,Puget Sound Clean Air Agency,1484,0,0,0,0,0,0,1484,0,"Ceased reporting. 3 consecutive years of GHG emissions below 5,000 MTCO2e.",1,"47.61345, -122.19454",,,POINT (-122.19454 47.61345)
Naval Base Kitsap - Bremerton,2018,Government,National Security,928110,National Security,US Government,Bremerton,Kitsap,Puget Sound Clean Air Agency,43240,0,43194,21,25,0,0,0,0,,2,"47.557047, -122.645933",,,POINT (-122.645933 47.557047)
The Boeing Company - Renton,2021,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Renton,King,Puget Sound Clean Air Agency,16267,0,16250,8,9,0,0,0,0,,1,"47.498257, -122.211346",,,POINT (-122.211346 47.498257)
Tree Top - Wenatchee,2023,Food Production,Fruit Products,311423,Dried and Dehydrated Food Manufacturing,Tree Top Inc.,Wenatchee,Chelan,Ecology: Central Regional Office,9775,0,9765,5,5,0,0,0,0,,1,"47.48938, -120.31426",,Reporter,POINT (-120.31426 47.48938)
TransAlta Centralia Generation LLC - Centralia,2021,Power Plants,Coal Plants,221112,Fossil Fuel Electric Power Generation,Transalta Centralia Generation/Mining,Centralia,Lewis,Southwest Clean Air Agency,3484305,0,3456999,9988,17318,0,0,0,0,Unit 1 permanently shut down 12/31/20.,5,"46.7559, -122.8578",,,POINT (-122.8578 46.7559)
City of Ellensburg LDC - supplier,2017,Supplier,Natural Gas Supplier,221210,Natural Gas Distribution,City of Ellensburg,Ellensburg,Kittitas,,29459,0,29429,14,17,0,0,0,0,,,,,,
Inland Power & Light Co - Spokane,2022,Power,COU,221122,Electric Power Distribution,,Spokane,Spokane,,16647,,,,,,,,,,,,,,
"Nucor Steel Seattle, Inc, - Seattle",2021,Metals,Iron and Steel Production,331110,Iron and Steel Mills and Ferroalloy Manufacturing,Nucor Corporation,Seattle,King,Puget Sound Clean Air Agency,97512,0,97466,21,25,0,0,0,0,,2,"47.569331, -122.367332",,,POINT (-122.367332 47.569331)
Hampton Lumber Mills Washington Inc. - Darrington,2014,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Darrington,Snohomish,Puget Sound Clean Air Agency,93894,92656,0,178,1060,0,0,0,0,,2,"48.262797, -121.597608",,,POINT (-121.597608 48.262797)
Darigold - Lynden,2022,Food Production,Dairy Products,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",Darigold Inc.,Lynden,Whatcom,Northwest Clean Air Agency,19212,0,19193,9,11,0,0,0,0,,1,"48.947567, -122.451915",,,POINT (-122.451915 48.947567)
Inland Empire Paper Company - Spokane,2017,Pulp and Paper,Other Pulp and Paper,322122,Newsprint Mills,Cowles Publishing Co.,Spokane,Spokane,Spokane Regional Clean Air Agency,28859,17620,10992,39,208,0,0,0,0,,2,"47.688295, -117.279323",,,POINT (-117.279323 47.688295)
Horn Rapids Sanitary Landfill - Richland,2015,Waste,Landfills,562212,Solid Waste Landfill,City of Richland,Richland,Benton,Benton Clean Air Agency,26870,0,0,26870,0,0,0,0,0,,2,"46.346663, -119.348118",,,POINT (-119.348118 46.346663)
Pasco Processing LLC - Pasco,2014,Food Production,Other Food Products,311991,Perishable Prepared Food Manufacturing,Oregon Potato Co.,Pasco,Franklin,Ecology: Eastern Regional Office,17298,0,17280,8,10,0,0,0,0,,1,"46.28274, -119.097528",,,POINT (-119.097528 46.28274)
Marathon Anacortes Refinery - Anacortes,2022,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Marathon Petroleum Corp,Anacortes,Skagit,Northwest Clean Air Agency,1370882,0,1364958,2455,3469,0,0,0,0,,4,"48.493816, -122.564845",,,POINT (-122.564845 48.493816)
The Boeing Company - Auburn Site - Auburn,2017,Manufacturing,Transportation Industry,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,The Boeing Company,Auburn,King,Puget Sound Clean Air Agency,38096,0,38057,18,21,0,0,0,0,,2,"47.285551, -122.242298",,,POINT (-122.242298 47.285551)
Darigold - Chehalis,2014,Food Production,Dairy Products,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",Darigold Inc.,Chehalis,Lewis,Southwest Clean Air Agency,13643,0,13629,7,8,0,0,0,0,,1,"46.659952, -122.970162",,,POINT (-122.970162 46.659952)
Imerys Minerals Quincy Plant - Quincy,2019,Minerals,Other Minerals,212399,All Other Nonmetallic Mineral Mining,Imerys Filtration Minerals Inc.,Quincy,Grant,Ecology: Eastern Regional Office,20150,0,20129,10,11,0,0,0,0,,1,"47.239948, -119.838831",,,POINT (-119.838831 47.239948)
"Solvay Chemicals, Inc. - Longview",2015,Chemicals,Other Chemicals,325180,Other Basic Inorganic Chemical Manufacturing,Solvay Chemicals Inc.,Longview,Cowlitz,Southwest Clean Air Agency,49098,0,49098,0,0,0,0,0,0,,2,"46.137218, -122.982847",,,POINT (-122.982847 46.137218)
Matheson - Anacortes,2017,Petroleum Systems,Other Petroleum Systems,325120,Industrial Gas Manufacturing,Linde Gas North America LLC,Anacortes,Skagit,Northwest Clean Air Agency,35843,0,35843,0,0,0,0,0,0,,2,"48.467646, -122.554343",,,POINT (-122.554343 48.467646)
"Rainier Veneer, Inc. - Spanaway",2016,Wood Products,Other Wood Products,321212,Softwood Veneer and Plywood Manufacturing,Rainier Veneer Inc.,Spanaway,Pierce,Puget Sound Clean Air Agency,17294,15416,1671,30,177,0,0,0,0,,1,"47.062059, -122.318981",,,POINT (-122.318981 47.062059)
NW Natural - supplier,2015,Supplier,Natural Gas Supplier,221210,Natural Gas Distribution,,Portland,Multnomah,,375766,0,375379,176,210,0,0,0,0,,,,,,
LANXESS Corporation - Kalama,2012,Chemicals,Other Chemicals,325199,All Other Basic Organic Chemical Manufacturing,Emerald Performance Materials LLC,Kalama,Cowlitz,Southwest Clean Air Agency,61809,0,61744,30,35,0,0,0,0,,2,"46.02191, -122.85698",,,POINT (-122.85698 46.02191)
BB Energy USA LLC,2023,Supplier,Other Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),BB ENERGY USA LLC,Houston,Harris,,1694,114,1548,3,29,0,0,0,0,,,,,Reporter,
James Hardie Building Products - Tacoma,2021,Manufacturing,Building Products,327390,Other Concrete Product Manufacturing,James Hardie Building Products Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,21700,0,21678,10,12,0,0,0,0,,1,"47.092145, -122.364656",,,POINT (-122.364656 47.092145)
Boeing Commercial Airplanes - Everett,2020,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Everett,Snohomish,Puget Sound Clean Air Agency,67553,0,67483,32,38,0,0,0,0,,2,"47.918622, -122.276987",,,POINT (-122.276987 47.918622)
"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls",2022,Wood Products,Other Wood Products,321219,Reconstituted Wood Product Manufacturing,Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,73039,54188,18108,113,630,0,0,0,0,,2,"48.613175, -118.116106",,,POINT (-118.116106 48.613175)
Gee Cee's Inc.- Toledo,2023,Supplier,Other Fuel Supplier,457110,Gasoline Stations with Convenience Stores,Gee Cee s Inc.,Toledo,Lewis,,23873,12,23839,3,19,0,0,0,0,,,,,Reporter,
Spokane Waste to Energy Facility - Spokane,2013,Power Plants,"Other Power, Heating, or Cooling Plants",562213,Solid Waste Combustors and Incinerators,City of Spokane,Spokane,Spokane,Spokane Regional Clean Air Agency,244932,140268,99262,2106,3295,0,0,0,0,,3,"47.626529, -117.504278",,,POINT (-117.504278 47.626529)
"Interfor US, Inc. - Port Angeles",2022,Wood Products,Lumber Mills,321113,Sawmills,Interfor US Inc.,Port Angeles,Clallam,Olympic Region Clean Air Agency,42970,42404,0,81,485,0,0,0,0,,2,"48.103425, -123.518642",,,POINT (-123.518642 48.103425)
Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,2023,Waste,Landfills,562212,Solid Waste Landfill,Waste Management Inc.,East Wenatchee,Douglas,Ecology: Central Regional Office,59718,16811,0,42847,60,0,0,0,0,,2,"47.405083, -120.167444",,Reporter,POINT (-120.167444 47.405083)
Port Angeles Hardwood LLC - Port Angeles,2016,Wood Products,Lumber Mills,321113,Sawmills,Port Angeles Hardwood LLC,Port Angeles,Clallam,Olympic Region Clean Air Agency,23212,22906,0,44,262,0,0,0,0,,1,"48.100872, -123.485745",,,POINT (-123.485745 48.100872)
Northwest Pipeline C/S - Goldendale,2021,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Goldendale,Klickitat,Ecology: Central Regional Office,22951,0,20025,2915,11,0,0,0,0,,1,"45.771216, -120.799267",,,POINT (-120.799267 45.771216)
Naval Base Kitsap Bangor - Silverdale,2018,Government,National Security,928110,National Security,US Government,Silverdale,Kitsap,Puget Sound Clean Air Agency,21669,0,21541,11,117,0,0,0,0,,1,"47.699284, -122.696926",,,POINT (-122.696926 47.699284)
Seattle-Tacoma International Airport - Seattle,2020,Government,Other Government,488119,Other Airport Operations,Port of Seattle,Seattle,King,Puget Sound Clean Air Agency,14508,0,14493,7,8,0,0,0,0,,1,"47.443643, -122.302452",,,POINT (-122.302452 47.443643)
CenTrio Energy Seattle LLC - Seattle,2017,Power Plants,"Other Power, Heating, or Cooling Plants",221330,Steam and Air-Conditioning Supply,Seattle Steam Company LLC,Seattle,King,Puget Sound Clean Air Agency,72623,0,72548,34,41,0,0,0,0,,2,"47.6068, -122.340179",,,POINT (-122.340179 47.6068)
Graymont Western US. Inc. - Tacoma,2012,Minerals,Lime Production,327410,Lime Manufacturing,"Graymont, Inc.",Tacoma,Pierce,Puget Sound Clean Air Agency,86850,0,86662,70,118,0,0,0,0,,2,"47.271365, -122.397262",,,POINT (-122.397262 47.271365)
REG Grays Harbor LLC - Hoquiam,2014,Petroleum Systems,Other Petroleum Systems,325199,All Other Basic Organic Chemical Manufacturing,Chevron Corporation,Hoquiam,Grays Harbor,Olympic Region Clean Air Agency,11832,0,11820,6,7,0,0,0,0,,1,"46.968196, -123.853622",,,POINT (-123.853622 46.968196)
LRI Landfill - Graham,2021,Waste,Landfills,562212,Solid Waste Landfill,Waste Connections Inc.,Graham,Pierce,Puget Sound Clean Air Agency,86829,0,0,86829,0,0,0,0,0,,2,"46.972405, -122.292799",,,POINT (-122.292799 46.972405)
Avista Corporation - WA State DOE Reporting - statewide,2015,Natural Gas Systems,Natural Gas Local Distribution Companies,221121,Electric Bulk Power Transmission and Control,Avista Corp.,Spokane,Spokane,Spokane Regional Clean Air Agency,22858,0,19,15329,0,0,0,7510,0,,1,"47.673486, -117.388514",,,POINT (-117.388514 47.673486)
"Nucor Steel Seattle, Inc, - Seattle",2016,Metals,Iron and Steel Production,331110,Iron and Steel Mills and Ferroalloy Manufacturing,Nucor Corporation,Seattle,King,Puget Sound Clean Air Agency,84518,0,84479,18,21,0,0,0,0,,2,"47.569331, -122.367332",,,POINT (-122.367332 47.569331)
Cheyne Landfill - Zillah,2014,Waste,Landfills,562212,Solid Waste Landfill,Yakima County Public Services,Zillah,Yakima,Yakima Regional Clean Air Agency,33147,0,0,33147,0,0,0,0,0,,2,"46.4785, -120.2688",,,POINT (-120.2688 46.4785)
WestRock LLC - Longview,2022,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Westrock Corp.,Longview,Cowlitz,Ecology: Industrial Section,1408874,1199579,203018,1210,5068,0,0,0,0,,4,"46.10361, -122.92167",,,POINT (-122.92167 46.10361)
Central Washington University - Ellensburg,2023,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Ellensburg,Kittitas,Ecology: Central Regional Office,12790,0,12777,6,7,0,0,0,0,,1,"47.003202, -120.544513",,Reporter,POINT (-120.544513 47.003202)
Marathon Anacortes Refinery - Anacortes,2015,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Marathon Petroleum Corp,Anacortes,Skagit,Northwest Clean Air Agency,1288787,0,1283000,2554,3232,0,0,0,0,,4,"48.493816, -122.564845",,,POINT (-122.564845 48.493816)
Basic American Foods - Moses Lake,2021,Food Production,Potato Products,311423,Dried and Dehydrated Food Manufacturing,Basic American Inc.,Moses Lake,Grant,Ecology: Eastern Regional Office,32323,0,32290,15,18,0,0,0,0,,2,"47.075183, -119.220408",,,POINT (-119.220408 47.075183)
Puget Sound Energy - Mint Farm Generating Station - Longview,2021,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Longview,Cowlitz,Southwest Clean Air Agency,731695,0,730952,339,404,0,0,0,0,,3,"46.140095, -122.985138",,,POINT (-122.985138 46.140095)
Steelscape - Kalama,2022,Metals,Other Metals,331221,Rolled Steel Shape Manufacturing,NS BlueScope USA LLC,Kalama,Cowlitz,Southwest Clean Air Agency,18422,0,18403,9,10,0,0,0,0,,1,"46.04326, -122.871703",,,POINT (-122.871703 46.04326)
Washington Potato Company - Warden,2016,Food Production,Potato Products,311991,Perishable Prepared Food Manufacturing,Washington Potato Co.,Warden,Grant,Ecology: Eastern Regional Office,30289,0,30258,14,17,0,0,0,0,,2,"46.970469, -119.063631",,,POINT (-119.063631 46.970469)
"Hartland Fuel Products, LLC dba HTP Energy",2023,Supplier,Other Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"PetroEnergy, LLC",Onalaska,La Crosse,,606230,6,604482,500,1242,0,0,0,0,,,,22987,Covered Entity,
Lamb Weston - Quincy,2014,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Quincy,Grant,Ecology: Eastern Regional Office,38324,0,38285,18,21,0,0,0,0,,2,"47.234413, -119.869914",,,POINT (-119.869914 47.234413)
U.S. Oil & Refining Co. - Tacoma,2019,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Par Pacific Holdings Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,155836,0,154515,808,513,0,0,0,0,,3,"47.256813, -122.394952",,,POINT (-122.394952 47.256813)
Tree Top - Prosser,2014,Food Production,Fruit Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Tree Top Inc.,Prosser,Benton,Benton Clean Air Agency,19366,0,19346,9,11,0,0,0,0,,1,"46.21842, -119.73397",,,POINT (-119.73397 46.21842)
Eastern Washington University,2018,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Cheney,Spokane,Spokane Regional Clean Air Agency,13410,0,13396,6,8,0,0,0,0,,1,"47.490091, -117.579702",,,POINT (-117.579702 47.490091)
Lamb Weston - Richland,2017,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Richland,Benton,Benton Clean Air Agency,50397,1794,44211,4360,31,0,0,0,0,,2,"46.309314, -119.297267",,,POINT (-119.297267 46.309314)
HF Sinclair Puget Sound Refinery LLC - Anacortes,2020,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,HollyFrontier Puget Sound Refining LLC,Anacortes,Skagit,Northwest Clean Air Agency,1803411,0,1793568,6066,3777,0,0,0,0,,4,"48.470931, -122.559161",,,POINT (-122.559161 48.470931)
