Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Reported Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,Covered Emissions (MT CO2e),CCA Status,Georeferenced Location
Naval Base Kitsap - Bremerton,2015,Government,National Security,928110,National Security,US Government,Bremerton,Kitsap,Puget Sound Clean Air Agency,42287,0,42241,21,26,0,0,0,0,,2,"47.557047, -122.645933",,,POINT (-122.645933 47.557047)
Alcoa Wenatchee Works - Malaga,2018,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Malaga,Chelan,Ecology: Industrial Section,0,0,0,0,0,0,0,0,0,Last year reporting.  Facility curtailed.,1,"47.3567, -120.1273",,,POINT (-120.1273 47.3567)
Cheyne Landfill - Zillah,2020,Waste,Landfills,562212,Solid Waste Landfill,Yakima County Public Services,Zillah,Yakima,Yakima Regional Clean Air Agency,42145,0,0,42145,0,0,0,0,0,,2,"46.4785, -120.2688",,,POINT (-120.2688 46.4785)
University of Washington Seattle Campus - Seattle,2023,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Seattle,King,Puget Sound Clean Air Agency,80936,0,80851,38,46,0,0,0,0,,2,"47.653614, -122.303608",80376,Covered Entity,POINT (-122.303608 47.653614)
Packaging Corporation of America - Wallula,2018,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Packaging Corp of America,Wallula,Walla Walla,Ecology: Industrial Section,652556,527640,108620,13777,2519,0,0,0,0,,3,"46.10396, -118.9184",,,POINT (-118.9184 46.10396)
Seattle-Tacoma International Airport - Seattle,2017,Government,Other Government,488119,Other Airport Operations,Port of Seattle,Seattle,King,Puget Sound Clean Air Agency,14791,0,14776,7,8,0,0,0,0,,1,"47.443643, -122.302452",,,POINT (-122.302452 47.443643)
The Boeing Company: Boeing Plant 2 - Seattle,2015,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Seattle,King,Puget Sound Clean Air Agency,21499,0,21477,10,12,0,0,0,0,,1,"47.532524, -122.311623",,,POINT (-122.311623 47.532524)
Avista Corporation - supplier,2023,Supplier,Natural Gas Supplier,221210,Natural Gas Distribution,Avista Corporation,Spokane,Spokane,,1072737,35,1071595,505,602,0,0,0,0,,,,1118894,Covered Entity,
Starbucks Kent Flexible Plant - Kent,2016,Food Production,Other Food Products,311920,Coffee and Tea Manufacturing,Starbucks Corp.,Kent,King,Puget Sound Clean Air Agency,14382,0,14367,7,8,0,0,0,0,,1,"47.436276, -122.237648",,,POINT (-122.237648 47.436276)
Chehalis Generation Facility - Chehalis,2023,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Berkshire Hathaway,Chehalis,Lewis,EFSEC,914725,0,913796,424,505,0,0,0,0,,3,"46.6226, -122.9145",914725,Covered Entity,POINT (-122.9145 46.6226)
